pID,created,context,questionName,numAttempts,numChecks,Correct,timeToComplete,SurveyQuestion,numUserNewDataToTool,numFlipsToCheatSheet,Understanding Metric,Assignment,
65d47775-44b1-4950-a18d-4193bd2552da,1650331902159,control1,stringB,1,N/A,1,10,5,N/A,0,0.550,Ethan,
65d47775-44b1-4950-a18d-4193bd2552da,1650331902159,control2,createF,1,N/A,1,29,6,N/A,2,0.517,Ethan,Pulled up cheat sheet for this question
65d47775-44b1-4950-a18d-4193bd2552da,1650331902159,control3,updateJ,1,N/A,1,14,7,N/A,0,0.536,Ethan,
65d47775-44b1-4950-a18d-4193bd2552da,1650331902159,explain1,stringA,1,N/A,1,18,9,0,0,0.528,Ethan,
65d47775-44b1-4950-a18d-4193bd2552da,1650331902159,explain2,createE,1,N/A,1,34,10,1,0,0.515,Ethan,
65d47775-44b1-4950-a18d-4193bd2552da,1650331902159,explain3,updateI,1,N/A,1,61,11,0,0,0.508,Ethan,
65d47775-44b1-4950-a18d-4193bd2552da,1650331902159,automata1,stringD,10,N/A,1,124,13,2,0,0.054,Ethan,
65d47775-44b1-4950-a18d-4193bd2552da,1650331902159,automata2,createH,5,N/A,1,146,14,2,0,0.103,Ethan,
65d47775-44b1-4950-a18d-4193bd2552da,1650331902159,automata3,updateL,1,N/A,1,25,15,0,0,0.520,Ethan,
65d47775-44b1-4950-a18d-4193bd2552da,1650331902159,grex1,stringC,4,N/A,1,74,17,1,1,0.132,Ethan,
65d47775-44b1-4950-a18d-4193bd2552da,1650331902159,grex2,createG,1,N/A,1,23,18,0,0,0.522,Ethan,
65d47775-44b1-4950-a18d-4193bd2552da,1650331902159,grex3,updateK,1,N/A,1,36,19,0,6,0.514,Ethan,
a6369231-93e0-419d-8f59-e34446b354bb,1650333278625,control1,stringC,1,N/A,1,29,5,N/A,0,0.517,Aiden,
a6369231-93e0-419d-8f59-e34446b354bb,1650333278625,control2,createG,1,N/A,1,45,6,N/A,0,0.511,Aiden,
a6369231-93e0-419d-8f59-e34446b354bb,1650333278625,control3,updateK,4,N/A,1,135,7,N/A,1,0.129,Aiden,
a6369231-93e0-419d-8f59-e34446b354bb,1650333278625,explain1,stringD,6,N/A,0,154,9,6,0,0.000,Aiden,
a6369231-93e0-419d-8f59-e34446b354bb,1650333278625,explain2,createH,3,N/A,0,171,10,4,0,0.000,Aiden,
a6369231-93e0-419d-8f59-e34446b354bb,1650333278625,explain3,updateL,1,N/A,1,101,11,4,3,0.505,Aiden,
a6369231-93e0-419d-8f59-e34446b354bb,1650333278625,automata1,stringA,1,N/A,1,11,13,0,0,0.545,Aiden,
a6369231-93e0-419d-8f59-e34446b354bb,1650333278625,automata2,createE,2,N/A,1,64,14,1,2,0.258,Aiden,
a6369231-93e0-419d-8f59-e34446b354bb,1650333278625,automata3,updateI,1,N/A,1,16,15,0,0,0.531,Aiden,
a6369231-93e0-419d-8f59-e34446b354bb,1650333278625,grex1,stringB,2,N/A,1,42,17,1,0,0.262,Aiden,
a6369231-93e0-419d-8f59-e34446b354bb,1650333278625,grex2,createF,1,N/A,1,22,18,0,0,0.523,Aiden,
a6369231-93e0-419d-8f59-e34446b354bb,1650333278625,grex3,updateJ,1,N/A,1,64,19,1,0,0.508,Aiden,
e5d137f1-277e-408c-b924-851ef274e9f7,1650319209484,control1,stringB,1,N/A,1,86,5,N/A,6,0.506,Ethan,
e5d137f1-277e-408c-b924-851ef274e9f7,1650319209484,control2,createF,6,N/A,0,153,6,N/A,4,0.000,Ethan,
e5d137f1-277e-408c-b924-851ef274e9f7,1650319209484,control3,updateJ,1,N/A,1,77,7,N/A,1,0.506,Ethan,
e5d137f1-277e-408c-b924-851ef274e9f7,1650319209484,explain1,stringA,2,N/A,0,235,9,2,1,0.000,Ethan,
e5d137f1-277e-408c-b924-851ef274e9f7,1650319209484,explain2,createE,2,N/A,0,176,10,3,2,0.000,Ethan,
e5d137f1-277e-408c-b924-851ef274e9f7,1650319209484,explain3,updateI,11,N/A,0,150,11,0,7,0.000,Ethan,
e5d137f1-277e-408c-b924-851ef274e9f7,1650319209484,automata1,stringD,1,N/A,0,250,13,1,0,0.000,Ethan,
e5d137f1-277e-408c-b924-851ef274e9f7,1650319209484,automata2,createH,6,N/A,0,200,14,0,9,0.000,Ethan,
e5d137f1-277e-408c-b924-851ef274e9f7,1650319209484,automata3,updateL,2,N/A,0,163,15,2,4,0.000,Ethan,Answer for one of these questions was not correct but advanced anyways
e5d137f1-277e-408c-b924-851ef274e9f7,1650319209484,grex1,stringC,1,N/A,0,155,17,3,1,0.000,Ethan,
e5d137f1-277e-408c-b924-851ef274e9f7,1650319209484,grex2,createG,2,N/A,0,191,18,2,0,0.000,Ethan,
e5d137f1-277e-408c-b924-851ef274e9f7,1650319209484,grex3,updateK,10,N/A,1,141,19,1,2,0.054,Ethan,
7bb0cd95-16ac-4a6f-bc14-c13cc2a0e4ef,1650320065958,control1,stringB,3,N/A,0,161,5,N/A,10,0.000,Aiden,
7bb0cd95-16ac-4a6f-bc14-c13cc2a0e4ef,1650320065958,control2,createF,2,N/A,0,178,6,N/A,5,0.000,Aiden,
7bb0cd95-16ac-4a6f-bc14-c13cc2a0e4ef,1650320065958,control3,updateJ,1,N/A,0,261,7,N/A,2,0.000,Aiden,
7bb0cd95-16ac-4a6f-bc14-c13cc2a0e4ef,1650320065958,explain1,stringA,1,N/A,0,233,9,1,1,0.000,Aiden,
7bb0cd95-16ac-4a6f-bc14-c13cc2a0e4ef,1650320065958,explain2,createE,1,N/A,1,114,10,2,1,0.504,Aiden,
7bb0cd95-16ac-4a6f-bc14-c13cc2a0e4ef,1650320065958,explain3,updateI,3,N/A,0,311,11,1,3,0.000,Aiden,
7bb0cd95-16ac-4a6f-bc14-c13cc2a0e4ef,1650320065958,automata1,stringD,3,N/A,0,153,13,1,0,0.000,Aiden,
7bb0cd95-16ac-4a6f-bc14-c13cc2a0e4ef,1650320065958,automata2,createH,2,N/A,0,270,14,3,1,0.000,Aiden,
7bb0cd95-16ac-4a6f-bc14-c13cc2a0e4ef,1650320065958,automata3,updateL,4,N/A,0,193,15,1,1,0.000,Aiden,
7bb0cd95-16ac-4a6f-bc14-c13cc2a0e4ef,1650320065958,grex1,stringC,7,N/A,1,143,17,0,4,0.075,Aiden,
7bb0cd95-16ac-4a6f-bc14-c13cc2a0e4ef,1650320065958,grex2,createG,1,N/A,1,68,18,1,1,0.507,Aiden,
7bb0cd95-16ac-4a6f-bc14-c13cc2a0e4ef,1650320065958,grex3,updateK,1,N/A,1,64,19,0,2,0.508,Aiden,
aa1dbf8a-f9c5-467e-9444-94077f1a7290,1650335564240,control1,stringD,3,N/A,0,188,5,N/A,8,0.000,Andjey,time on cheat sheet would be useful
aa1dbf8a-f9c5-467e-9444-94077f1a7290,1650335564240,control2,createH,5,N/A,0,158,6,N/A,5,0.000,Andjey,
aa1dbf8a-f9c5-467e-9444-94077f1a7290,1650335564240,control3,updateL,3,N/A,0,158,7,N/A,3,0.000,Andjey,
aa1dbf8a-f9c5-467e-9444-94077f1a7290,1650335564240,explain1,stringC,3,N/A,0,211,9,4,0,0.000,Andjey,question 8 is an enable tool question
aa1dbf8a-f9c5-467e-9444-94077f1a7290,1650335564240,explain2,createG,2,N/A,0,199,10,4,0,0.000,Andjey,3 interactions and 1 flip to cheat sheet after time expired
aa1dbf8a-f9c5-467e-9444-94077f1a7290,1650335564240,explain3,updateK,3,N/A,1,81,11,2,2,0.173,Andjey,
aa1dbf8a-f9c5-467e-9444-94077f1a7290,1650335564240,automata1,stringB,1,N/A,1,76,13,2,1,0.507,Andjey,1 cheat sheet after time expired
aa1dbf8a-f9c5-467e-9444-94077f1a7290,1650335564240,automata2,createF,8,N/A,0,202,14,1,3,0.000,Andjey,
aa1dbf8a-f9c5-467e-9444-94077f1a7290,1650335564240,automata3,updateJ,2,N/A,1,130,15,4,0,0.254,Andjey,
aa1dbf8a-f9c5-467e-9444-94077f1a7290,1650335564240,grex1,stringA,1,N/A,1,71,17,1,0,0.507,Andjey,
aa1dbf8a-f9c5-467e-9444-94077f1a7290,1650335564240,grex2,createE,1,N/A,1,116,18,1,2,0.504,Andjey,
aa1dbf8a-f9c5-467e-9444-94077f1a7290,1650335564240,grex3,updateI,1,N/A,1,49,19,0,0,0.510,Andjey,
544f173b-f988-47a4-914d-9817a2da24f0,1650321858341,control1,stringD,5,N/A,0,160,5,N/A,2,0.000,Andjey,This file was split into two pieces. After the participant made split screen they accidentally turned off the recording. The 2nd recording only records the survey window.
544f173b-f988-47a4-914d-9817a2da24f0,1650321858341,control2,createH,1,N/A,0,234,6,N/A,unavailable (split screen),0.000,Andjey,
544f173b-f988-47a4-914d-9817a2da24f0,1650321858341,control3,updateL,3,N/A,1,134,7,N/A,unavailable (split screen),0.170,Andjey,
544f173b-f988-47a4-914d-9817a2da24f0,1650321858341,explain1,stringC,1,N/A,0,186,9,1,unavailable (split screen),0.000,Andjey,
544f173b-f988-47a4-914d-9817a2da24f0,1650321858341,explain2,createG,3,N/A,0,163,10,0,unavailable (split screen),0.000,Andjey,
544f173b-f988-47a4-914d-9817a2da24f0,1650321858341,explain3,updateK,3,N/A,0,170,11,0,unavailable (split screen),0.000,Andjey,
544f173b-f988-47a4-914d-9817a2da24f0,1650321858341,automata1,stringB,1,N/A,1,81,13,1,unavailable (split screen),0.506,Andjey,
544f173b-f988-47a4-914d-9817a2da24f0,1650321858341,automata2,createF,2,N/A,0,151,14,1,unavailable (split screen),0.000,Andjey,
544f173b-f988-47a4-914d-9817a2da24f0,1650321858341,automata3,updateJ,1,N/A,1,34,15,0,unavailable (split screen),0.515,Andjey,
544f173b-f988-47a4-914d-9817a2da24f0,1650321858341,grex1,stringA,6,N/A,0,163,17,4,unavailable (split screen),0.000,Andjey,
544f173b-f988-47a4-914d-9817a2da24f0,1650321858341,grex2,createE,1,N/A,0,183,18,2,unavailable (split screen),0.000,Andjey,
544f173b-f988-47a4-914d-9817a2da24f0,1650321858341,grex3,updateI,3,N/A,0,189,19,0,unavailable (split screen),0.000,Andjey,
b2d5d7e9-c924-42ae-a2f7-a020c24d9aff,1650321909526,control1,stringD,2,N/A,0,224,5,N/A,0,0.000,Josh,
b2d5d7e9-c924-42ae-a2f7-a020c24d9aff,1650321909526,control2,createH,2,N/A,0,184,6,N/A,0,0.000,Josh,
b2d5d7e9-c924-42ae-a2f7-a020c24d9aff,1650321909526,control3,updateL,2,N/A,1,113,7,N/A,1,0.254,Josh,
b2d5d7e9-c924-42ae-a2f7-a020c24d9aff,1650321909526,explain1,stringC,1,N/A,1,110,9,4,0,0.505,Josh,"1, 3"
b2d5d7e9-c924-42ae-a2f7-a020c24d9aff,1650321909526,explain2,createG,1,N/A,1,84,10,3,0,0.506,Josh,"2, 1"
b2d5d7e9-c924-42ae-a2f7-a020c24d9aff,1650321909526,explain3,updateK,1,N/A,1,84,11,3,1,0.506,Josh,"3, 0"
b2d5d7e9-c924-42ae-a2f7-a020c24d9aff,1650321909526,automata1,stringB,1,N/A,1,90,13,0,0,0.506,Josh,
b2d5d7e9-c924-42ae-a2f7-a020c24d9aff,1650321909526,automata2,createF,1,N/A,1,69,14,1,2,0.507,Josh,
b2d5d7e9-c924-42ae-a2f7-a020c24d9aff,1650321909526,automata3,updateJ,1,N/A,1,76,15,0,0,0.507,Josh,
b2d5d7e9-c924-42ae-a2f7-a020c24d9aff,1650321909526,grex1,stringA,1,N/A,1,52,17,1,0,0.510,Josh,
b2d5d7e9-c924-42ae-a2f7-a020c24d9aff,1650321909526,grex2,createE,1,N/A,1,80,18,0,0,0.506,Josh,
b2d5d7e9-c924-42ae-a2f7-a020c24d9aff,1650321909526,grex3,updateI,1,N/A,1,25,19,1,0,0.520,Josh,
c3ce52b9-79f5-4374-be45-90512e6a332d,1650337393460,control1,stringA,1,N/A,1,61,5,N/A,2,0.508,Andjey,
c3ce52b9-79f5-4374-be45-90512e6a332d,1650337393460,control2,createE,1,N/A,1,62,6,N/A,0,0.508,Andjey,
c3ce52b9-79f5-4374-be45-90512e6a332d,1650337393460,control3,updateI,1,N/A,1,27,7,N/A,0,0.519,Andjey,
c3ce52b9-79f5-4374-be45-90512e6a332d,1650337393460,explain1,stringB,1,N/A,1,98,9,1,1,0.505,Andjey,
c3ce52b9-79f5-4374-be45-90512e6a332d,1650337393460,explain2,createF,3,N/A,0,155,10,5,1,0.000,Andjey,
c3ce52b9-79f5-4374-be45-90512e6a332d,1650337393460,explain3,updateJ,1,N/A,0,150,11,5,0,0.000,Andjey,
c3ce52b9-79f5-4374-be45-90512e6a332d,1650337393460,automata1,stringC,1,N/A,1,101,13,1,0,0.505,Andjey,
c3ce52b9-79f5-4374-be45-90512e6a332d,1650337393460,automata2,createG,1,N/A,1,45,14,2,0,0.511,Andjey,
c3ce52b9-79f5-4374-be45-90512e6a332d,1650337393460,automata3,updateK,1,N/A,1,143,15,2,1,0.503,Andjey,
c3ce52b9-79f5-4374-be45-90512e6a332d,1650337393460,grex1,stringD,5,N/A,0,156,17,3,0,0.000,Andjey,
c3ce52b9-79f5-4374-be45-90512e6a332d,1650337393460,grex2,createH,2,N/A,0,284,18,0,3,0.000,Andjey,
c3ce52b9-79f5-4374-be45-90512e6a332d,1650337393460,grex3,updateL,1,N/A,1,128,19,0,1,0.504,Andjey,
e0940a9f-808a-48cb-a276-213f437634b9,1650324661270,control1,stringA,4,N/A,1,93,5,N/A,4,0.130,Josh,
e0940a9f-808a-48cb-a276-213f437634b9,1650324661270,control2,createE,6,N/A,0,159,6,N/A,5,0.000,Josh,
e0940a9f-808a-48cb-a276-213f437634b9,1650324661270,control3,updateI,1,N/A,1,38,7,N/A,2,0.513,Josh,
e0940a9f-808a-48cb-a276-213f437634b9,1650324661270,explain1,stringB,1,N/A,1,84,9,0,3,0.506,Josh,
e0940a9f-808a-48cb-a276-213f437634b9,1650324661270,explain2,createF,8,N/A,0,228,10,1,3,0.000,Josh,
e0940a9f-808a-48cb-a276-213f437634b9,1650324661270,explain3,updateJ,1,N/A,1,35,11,0,2,0.514,Josh,
e0940a9f-808a-48cb-a276-213f437634b9,1650324661270,automata1,stringC,1,N/A,1,73,13,1,0,0.507,Josh,
e0940a9f-808a-48cb-a276-213f437634b9,1650324661270,automata2,createG,1,N/A,1,128,14,4,2,0.504,Josh,
e0940a9f-808a-48cb-a276-213f437634b9,1650324661270,automata3,updateK,6,N/A,0,229,15,3,3,0.000,Josh,
e0940a9f-808a-48cb-a276-213f437634b9,1650324661270,grex1,stringD,6,N/A,0,204,17,1,6,0.000,Josh,
e0940a9f-808a-48cb-a276-213f437634b9,1650324661270,grex2,createH,4,N/A,1,123,18,0,4,0.129,Josh,
e0940a9f-808a-48cb-a276-213f437634b9,1650324661270,grex3,updateL,8,N/A,0,156,19,0,5,0.000,Josh,
ebe39a0b-74a9-40ea-bcce-d935364d856b,1650404341516,control1,stringC,1,N/A,0,164,5,N/A,9,0.000,Aiden,
ebe39a0b-74a9-40ea-bcce-d935364d856b,1650404341516,control2,createG,3,N/A,0,170,6,N/A,9,0.000,Aiden,
ebe39a0b-74a9-40ea-bcce-d935364d856b,1650404341516,control3,updateK,5,N/A,0,151,7,N/A,6,0.000,Aiden,
ebe39a0b-74a9-40ea-bcce-d935364d856b,1650404341516,explain1,stringD,1,N/A,0,173,9,2,1,0.000,Aiden,
ebe39a0b-74a9-40ea-bcce-d935364d856b,1650404341516,explain2,createH,6,N/A,0,151,10,0,5,0.000,Aiden,
ebe39a0b-74a9-40ea-bcce-d935364d856b,1650404341516,explain3,updateL,3,N/A,0,151,11,1,3,0.000,Aiden,
ebe39a0b-74a9-40ea-bcce-d935364d856b,1650404341516,automata1,stringA,1,N/A,1,86,13,1,0,0.506,Aiden,
ebe39a0b-74a9-40ea-bcce-d935364d856b,1650404341516,automata2,createE,2,N/A,0,154,14,6,1,0.000,Aiden,
ebe39a0b-74a9-40ea-bcce-d935364d856b,1650404341516,automata3,updateI,1,N/A,1,66,15,2,1,0.508,Aiden,
ebe39a0b-74a9-40ea-bcce-d935364d856b,1650404341516,grex1,stringB,4,N/A,1,68,17,0,1,0.132,Aiden,
ebe39a0b-74a9-40ea-bcce-d935364d856b,1650404341516,grex2,createF,3,N/A,0,153,18,3,1,0.000,Aiden,
ebe39a0b-74a9-40ea-bcce-d935364d856b,1650404341516,grex3,updateJ,1,N/A,1,85,19,2,0,0.506,Aiden,
243f8b50-f8bd-4b5e-93da-04dda4a686c9,1650408944039,control1,stringC,3,N/A,0,150,5,N/A,8,0.000,Josh,
243f8b50-f8bd-4b5e-93da-04dda4a686c9,1650408944039,control2,createG,4,N/A,0,150,6,N/A,6,0.000,Josh,
243f8b50-f8bd-4b5e-93da-04dda4a686c9,1650408944039,control3,updateK,4,N/A,1,85,7,N/A,2,0.131,Josh,
243f8b50-f8bd-4b5e-93da-04dda4a686c9,1650408944039,explain1,stringD,1,N/A,0,218,9,3,0,0.000,Josh,
243f8b50-f8bd-4b5e-93da-04dda4a686c9,1650408944039,explain2,createH,3,N/A,0,150,10,2,2,0.000,Josh,
243f8b50-f8bd-4b5e-93da-04dda4a686c9,1650408944039,explain3,updateL,4,N/A,1,76,11,0,2,0.132,Josh,
243f8b50-f8bd-4b5e-93da-04dda4a686c9,1650408944039,automata1,stringA,2,N/A,1,66,13,1,0,0.258,Josh,
243f8b50-f8bd-4b5e-93da-04dda4a686c9,1650408944039,automata2,createE,1,N/A,1,69,14,1,1,0.507,Josh,
243f8b50-f8bd-4b5e-93da-04dda4a686c9,1650408944039,automata3,updateI,1,N/A,1,33,15,0,1,0.515,Josh,
243f8b50-f8bd-4b5e-93da-04dda4a686c9,1650408944039,grex1,stringB,1,N/A,1,62,17,0,0,0.508,Josh,
243f8b50-f8bd-4b5e-93da-04dda4a686c9,1650408944039,grex2,createF,1,N/A,1,37,18,0,0,0.514,Josh,
243f8b50-f8bd-4b5e-93da-04dda4a686c9,1650408944039,grex3,updateJ,1,N/A,1,35,19,0,0,0.514,Josh,
2660da2e-3cd3-41db-b96c-366d9cca976b,1650410839538,control1,stringA,1,N/A,1,28,5,N/A,1,0.518,Ethan,
2660da2e-3cd3-41db-b96c-366d9cca976b,1650410839538,control2,createE,1,N/A,0,150,6,N/A,11,0.000,Ethan,
2660da2e-3cd3-41db-b96c-366d9cca976b,1650410839538,control3,updateI,10,N/A,0,150,7,N/A,10,0.000,Ethan,
2660da2e-3cd3-41db-b96c-366d9cca976b,1650410839538,explain1,stringB,1,N/A,0,157,9,3,0,0.000,Ethan,
2660da2e-3cd3-41db-b96c-366d9cca976b,1650410839538,explain2,createF,1,N/A,0,150,10,4,4,0.000,Ethan,
2660da2e-3cd3-41db-b96c-366d9cca976b,1650410839538,explain3,updateJ,0,N/A,0,150,11,1,1,#DIV/0!,Ethan,
2660da2e-3cd3-41db-b96c-366d9cca976b,1650410839538,automata1,stringC,1,N/A,1,63,13,1,0,0.508,Ethan,
2660da2e-3cd3-41db-b96c-366d9cca976b,1650410839538,automata2,createG,1,N/A,0,150,14,7,6,0.000,Ethan,
2660da2e-3cd3-41db-b96c-366d9cca976b,1650410839538,automata3,updateK,4,N/A,0,150,15,4,4,0.000,Ethan,
2660da2e-3cd3-41db-b96c-366d9cca976b,1650410839538,grex1,stringD,2,N/A,0,195,17,0,0,0.000,Ethan,Wasn't connected to Internet
2660da2e-3cd3-41db-b96c-366d9cca976b,1650410839538,grex2,createH,6,N/A,0,150,18,3,0,0.000,Ethan,
2660da2e-3cd3-41db-b96c-366d9cca976b,1650410839538,grex3,updateL,10,N/A,1,113,19,1,6,0.054,Ethan,
